




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.12173881 Released 2024-06-17
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Drosophila melanogaster - REFLIST (13821)	upload_1 (109)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
imaginal disc-derived wing morphogenesis (GO:0007476)	276	10	2.18	+	4.59	6.42E-05	2.62E-03
chemical synaptic transmission (GO:0007268)	221	8	1.74	+	4.59	3.58E-04	1.03E-02
anterograde trans-synaptic signaling (GO:0098916)	221	8	1.74	+	4.59	3.58E-04	1.03E-02
regulation of mitotic cell cycle (GO:0007346)	166	6	1.31	+	4.58	2.00E-03	3.71E-02
regulation of cell cycle process (GO:0010564)	194	7	1.53	+	4.58	8.59E-04	2.05E-02
cell fate commitment (GO:0045165)	305	11	2.41	+	4.57	2.84E-05	1.39E-03
cell-cell signaling (GO:0007267)	278	10	2.19	+	4.56	6.82E-05	2.71E-03
positive regulation of transcription by RNA polymerase II (GO:0045944)	334	12	2.63	+	4.56	1.25E-05	7.23E-04
cell differentiation (GO:0030154)	1541	55	12.15	+	4.53	1.93E-24	3.54E-21
cellular developmental process (GO:0048869)	1543	55	12.17	+	4.52	2.05E-24	3.02E-21
sexual reproduction (GO:0019953)	1155	41	9.11	+	4.50	2.13E-17	9.23E-15
axon development (GO:0061564)	310	11	2.44	+	4.50	3.29E-05	1.54E-03
trans-synaptic signaling (GO:0099537)	228	8	1.80	+	4.45	4.41E-04	1.16E-02
regulation of response to stress (GO:0080134)	285	10	2.25	+	4.45	8.38E-05	3.20E-03
wing disc morphogenesis (GO:0007472)	289	10	2.28	+	4.39	9.41E-05	3.57E-03
regulation of immune response (GO:0050776)	203	7	1.60	+	4.37	1.12E-03	2.47E-02
photoreceptor cell differentiation (GO:0046530)	205	7	1.62	+	4.33	1.18E-03	2.60E-02
axonogenesis (GO:0007409)	294	10	2.32	+	4.31	1.08E-04	3.99E-03
cell morphogenesis (GO:0000902)	471	16	3.71	+	4.31	8.28E-07	7.16E-05
imaginal disc development (GO:0007444)	560	19	4.42	+	4.30	6.89E-08	8.05E-06
nuclear division (GO:0000280)	236	8	1.86	+	4.30	5.54E-04	1.41E-02
purine ribonucleotide metabolic process (GO:0009150)	177	6	1.40	+	4.30	2.76E-03	4.60E-02
regulation of nervous system development (GO:0051960)	207	7	1.63	+	4.29	1.25E-03	2.72E-02
regulation of response to biotic stimulus (GO:0002831)	207	7	1.63	+	4.29	1.25E-03	2.71E-02
muscle structure development (GO:0061061)	207	7	1.63	+	4.29	1.25E-03	2.70E-02
synaptic signaling (GO:0099536)	237	8	1.87	+	4.28	5.70E-04	1.45E-02
purine nucleotide metabolic process (GO:0006163)	210	7	1.66	+	4.23	1.36E-03	2.88E-02
cell cycle (GO:0007049)	603	20	4.76	+	4.21	4.31E-08	5.37E-06
cell cycle process (GO:0022402)	513	17	4.05	+	4.20	5.11E-07	4.76E-05
regulation of defense response (GO:0031347)	212	7	1.67	+	4.19	1.44E-03	2.99E-02
actin filament-based process (GO:0030029)	274	9	2.16	+	4.16	3.14E-04	9.42E-03
imaginal disc morphogenesis (GO:0007560)	404	13	3.19	+	4.08	1.72E-05	9.46E-04
organelle fission (GO:0048285)	249	8	1.96	+	4.07	7.87E-04	1.91E-02
animal organ morphogenesis (GO:0009887)	723	23	5.70	+	4.03	7.69E-09	1.35E-06
neuron projection guidance (GO:0097485)	252	8	1.99	+	4.03	8.51E-04	2.06E-02
post-embryonic appendage morphogenesis (GO:0035120)	319	10	2.52	+	3.97	2.11E-04	6.74E-03
regulation of immune system process (GO:0002682)	256	8	2.02	+	3.96	9.42E-04	2.17E-02
regulation of developmental process (GO:0050793)	675	21	5.32	+	3.94	5.64E-08	6.80E-06
wing disc development (GO:0035220)	387	12	3.05	+	3.93	5.31E-05	2.29E-03
cell morphogenesis involved in neuron differentiation (GO:0048667)	387	12	3.05	+	3.93	5.31E-05	2.27E-03
post-embryonic animal morphogenesis (GO:0009886)	454	14	3.58	+	3.91	1.29E-05	7.41E-04
regulation of localization (GO:0032879)	391	12	3.08	+	3.89	5.87E-05	2.45E-03
imaginal disc-derived appendage morphogenesis (GO:0035114)	328	10	2.59	+	3.87	2.64E-04	8.14E-03
nucleotide metabolic process (GO:0009117)	231	7	1.82	+	3.84	2.34E-03	4.10E-02
appendage morphogenesis (GO:0035107)	330	10	2.60	+	3.84	2.77E-04	8.41E-03
generation of neurons (GO:0048699)	760	23	5.99	+	3.84	1.96E-08	2.82E-06
metamorphosis (GO:0007552)	465	14	3.67	+	3.82	1.69E-05	9.33E-04
reproductive process (GO:0022414)	1433	43	11.30	+	3.80	1.24E-15	4.15E-13
purine-containing compound metabolic process (GO:0072521)	234	7	1.85	+	3.79	2.52E-03	4.36E-02
vesicle-mediated transport (GO:0016192)	502	15	3.96	+	3.79	8.98E-06	5.55E-04
imaginal disc-derived appendage development (GO:0048737)	335	10	2.64	+	3.79	3.12E-04	9.40E-03
regulation of organelle organization (GO:0033043)	337	10	2.66	+	3.76	3.27E-04	9.70E-03
instar larval or pupal morphogenesis (GO:0048707)	439	13	3.46	+	3.75	4.10E-05	1.81E-03
neurogenesis (GO:0022008)	811	24	6.40	+	3.75	1.39E-08	2.18E-06
appendage development (GO:0048736)	338	10	2.67	+	3.75	3.35E-04	9.85E-03
nucleoside phosphate metabolic process (GO:0006753)	237	7	1.87	+	3.75	2.70E-03	4.52E-02
regulation of multicellular organismal development (GO:2000026)	273	8	2.15	+	3.72	1.42E-03	2.97E-02
animal organ development (GO:0048513)	1135	33	8.95	+	3.69	1.87E-11	4.58E-09
microtubule cytoskeleton organization (GO:0000226)	347	10	2.74	+	3.65	4.12E-04	1.10E-02
regulation of cell cycle (GO:0051726)	279	8	2.20	+	3.64	1.63E-03	3.31E-02
neuron projection development (GO:0031175)	419	12	3.30	+	3.63	1.13E-04	4.08E-03
anatomical structure development (GO:0048856)	2502	71	19.73	+	3.60	1.95E-27	1.44E-23
neuron differentiation (GO:0030182)	705	20	5.56	+	3.60	5.37E-07	4.94E-05
neuron projection morphogenesis (GO:0048812)	389	11	3.07	+	3.59	2.47E-04	7.84E-03
negative regulation of gene expression (GO:0010629)	354	10	2.79	+	3.58	4.82E-04	1.25E-02
positive regulation of RNA biosynthetic process (GO:1902680)	425	12	3.35	+	3.58	1.29E-04	4.51E-03
positive regulation of DNA-templated transcription (GO:0045893)	425	12	3.35	+	3.58	1.29E-04	4.49E-03
compound eye morphogenesis (GO:0001745)	284	8	2.24	+	3.57	1.82E-03	3.50E-02
plasma membrane bounded cell projection morphogenesis (GO:0120039)	391	11	3.08	+	3.57	2.58E-04	8.02E-03
cell projection morphogenesis (GO:0048858)	393	11	3.10	+	3.55	2.70E-04	8.27E-03
response to oxygen-containing compound (GO:1901700)	286	8	2.26	+	3.55	1.91E-03	3.58E-02
immune system process (GO:0002376)	287	8	2.26	+	3.53	1.95E-03	3.64E-02
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	503	14	3.97	+	3.53	4.01E-05	1.80E-03
regulation of multicellular organismal process (GO:0051239)	576	16	4.54	+	3.52	1.10E-05	6.51E-04
positive regulation of macromolecule metabolic process (GO:0010604)	757	21	5.97	+	3.52	3.85E-07	3.63E-05
multicellular organism development (GO:0007275)	2057	57	16.22	+	3.51	5.22E-20	3.20E-17
positive regulation of macromolecule biosynthetic process (GO:0010557)	578	16	4.56	+	3.51	1.15E-05	6.69E-04
positive regulation of response to stimulus (GO:0048584)	547	15	4.31	+	3.48	2.47E-05	1.26E-03
cytoskeleton organization (GO:0007010)	586	16	4.62	+	3.46	1.36E-05	7.70E-04
sensory organ morphogenesis (GO:0090596)	293	8	2.31	+	3.46	2.22E-03	3.95E-02
eye morphogenesis (GO:0048592)	293	8	2.31	+	3.46	2.22E-03	3.94E-02
regulation of protein metabolic process (GO:0051246)	370	10	2.92	+	3.43	6.79E-04	1.67E-02
positive regulation of cellular biosynthetic process (GO:0031328)	593	16	4.68	+	3.42	1.58E-05	8.85E-04
developmental process (GO:0032502)	2633	71	20.77	+	3.42	4.98E-26	1.83E-22
neuron development (GO:0048666)	557	15	4.39	+	3.41	3.05E-05	1.46E-03
cellular macromolecule localization (GO:0070727)	711	19	5.61	+	3.39	2.61E-06	1.98E-04
positive regulation of biosynthetic process (GO:0009891)	600	16	4.73	+	3.38	1.82E-05	9.92E-04
nervous system development (GO:0007399)	975	26	7.69	+	3.38	2.61E-08	3.62E-06
positive regulation of metabolic process (GO:0009893)	845	22	6.66	+	3.30	5.73E-07	5.21E-05
negative regulation of signal transduction (GO:0009968)	385	10	3.04	+	3.29	9.20E-04	2.12E-02
system development (GO:0048731)	1311	34	10.34	+	3.29	1.89E-10	4.22E-08
instar larval or pupal development (GO:0002165)	545	14	4.30	+	3.26	9.50E-05	3.58E-03
sensory organ development (GO:0007423)	470	12	3.71	+	3.24	3.27E-04	9.67E-03
compound eye development (GO:0048749)	353	9	2.78	+	3.23	1.89E-03	3.57E-02
positive regulation of RNA metabolic process (GO:0051254)	472	12	3.72	+	3.22	3.40E-04	9.97E-03
microtubule-based process (GO:0007017)	475	12	3.75	+	3.20	3.60E-04	1.03E-02
negative regulation of signaling (GO:0023057)	405	10	3.19	+	3.13	1.35E-03	2.87E-02
negative regulation of cell communication (GO:0010648)	407	10	3.21	+	3.12	1.40E-03	2.93E-02
positive regulation of cellular metabolic process (GO:0031325)	698	17	5.50	+	3.09	3.11E-05	1.47E-03
eye development (GO:0001654)	371	9	2.93	+	3.08	2.64E-03	4.53E-02
visual system development (GO:0150063)	371	9	2.93	+	3.08	2.64E-03	4.52E-02
sensory system development (GO:0048880)	371	9	2.93	+	3.08	2.64E-03	4.51E-02
homeostatic process (GO:0042592)	457	11	3.60	+	3.05	9.52E-04	2.18E-02
post-embryonic development (GO:0009791)	625	15	4.93	+	3.04	1.12E-04	4.07E-03
behavior (GO:0007610)	544	13	4.29	+	3.03	3.46E-04	1.01E-02
protein localization (GO:0008104)	672	16	5.30	+	3.02	7.13E-05	2.81E-03
multicellular organismal process (GO:0032501)	2907	69	22.93	+	3.01	1.16E-21	1.06E-18
negative regulation of response to stimulus (GO:0048585)	431	10	3.40	+	2.94	2.13E-03	3.89E-02
cellular component assembly (GO:0022607)	1037	24	8.18	+	2.93	1.34E-06	1.10E-04
regulation of response to stimulus (GO:0048583)	996	23	7.86	+	2.93	2.42E-06	1.85E-04
cellular localization (GO:0051641)	1084	25	8.55	+	2.92	8.14E-07	7.13E-05
negative regulation of cellular biosynthetic process (GO:0031327)	614	14	4.84	+	2.89	3.27E-04	9.73E-03
regulation of cellular component organization (GO:0051128)	705	16	5.56	+	2.88	1.25E-04	4.42E-03
negative regulation of biosynthetic process (GO:0009890)	620	14	4.89	+	2.86	3.61E-04	1.02E-02
positive regulation of cellular process (GO:0048522)	1479	33	11.66	+	2.83	1.74E-08	2.61E-06
plasma membrane bounded cell projection organization (GO:0120036)	633	14	4.99	+	2.80	4.44E-04	1.16E-02
cell projection organization (GO:0030030)	647	14	5.10	+	2.74	5.52E-04	1.41E-02
macromolecule localization (GO:0033036)	879	19	6.93	+	2.74	5.21E-05	2.25E-03
nervous system process (GO:0050877)	559	12	4.41	+	2.72	1.50E-03	3.10E-02
negative regulation of macromolecule biosynthetic process (GO:0010558)	607	13	4.79	+	2.72	9.67E-04	2.20E-02
regulation of signaling (GO:0023051)	934	20	7.37	+	2.72	3.66E-05	1.67E-03
regulation of signal transduction (GO:0009966)	796	17	6.28	+	2.71	1.57E-04	5.27E-03
signaling (GO:0023052)	1172	25	9.24	+	2.70	3.37E-06	2.50E-04
regulation of cell communication (GO:0010646)	938	20	7.40	+	2.70	3.89E-05	1.76E-03
negative regulation of cellular process (GO:0048523)	1319	28	10.40	+	2.69	8.10E-07	7.18E-05
cell communication (GO:0007154)	1190	25	9.38	+	2.66	4.42E-06	3.19E-04
positive regulation of biological process (GO:0048518)	1673	35	13.19	+	2.65	2.85E-08	3.82E-06
establishment of localization in cell (GO:0051649)	719	15	5.67	+	2.65	5.07E-04	1.30E-02
system process (GO:0003008)	628	13	4.95	+	2.62	1.32E-03	2.81E-02
negative regulation of cellular metabolic process (GO:0031324)	679	14	5.35	+	2.61	8.85E-04	2.10E-02
cellular component organization (GO:0016043)	2641	54	20.83	+	2.59	6.57E-13	1.79E-10
phosphate-containing compound metabolic process (GO:0006796)	641	13	5.06	+	2.57	1.58E-03	3.22E-02
phosphorus metabolic process (GO:0006793)	652	13	5.14	+	2.53	1.84E-03	3.48E-02
cellular component biogenesis (GO:0044085)	1217	24	9.60	+	2.50	2.07E-05	1.11E-03
negative regulation of biological process (GO:0048519)	1445	28	11.40	+	2.46	4.90E-06	3.31E-04
cellular component organization or biogenesis (GO:0071840)	2805	54	22.12	+	2.44	7.96E-12	2.02E-09
organelle organization (GO:0006996)	1545	29	12.18	+	2.38	8.23E-06	5.13E-04
negative regulation of metabolic process (GO:0009892)	751	14	5.92	+	2.36	2.29E-03	4.04E-02
protein-containing complex organization (GO:0043933)	756	14	5.96	+	2.35	2.44E-03	4.23E-02
regulation of primary metabolic process (GO:0080090)	1671	30	13.18	+	2.28	1.02E-05	6.13E-04
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1272	22	10.03	+	2.19	3.57E-04	1.04E-02
regulation of cellular biosynthetic process (GO:0031326)	1625	28	12.82	+	2.18	6.16E-05	2.56E-03
regulation of metabolic process (GO:0019222)	2039	35	16.08	+	2.18	4.05E-06	2.95E-04
regulation of macromolecule metabolic process (GO:0060255)	1865	32	14.71	+	2.18	1.34E-05	7.67E-04
regulation of biosynthetic process (GO:0009889)	1644	28	12.97	+	2.16	6.92E-05	2.74E-03
regulation of gene expression (GO:0010468)	1594	27	12.57	+	2.15	1.07E-04	3.98E-03
regulation of cellular metabolic process (GO:0031323)	1837	31	14.49	+	2.14	2.54E-05	1.29E-03
regulation of RNA biosynthetic process (GO:2001141)	1067	18	8.41	+	2.14	1.80E-03	3.47E-02
regulation of DNA-templated transcription (GO:0006355)	1067	18	8.41	+	2.14	1.80E-03	3.47E-02
regulation of macromolecule biosynthetic process (GO:0010556)	1608	27	12.68	+	2.13	1.18E-04	4.21E-03
localization (GO:0051179)	2152	36	16.97	+	2.12	6.43E-06	4.26E-04
regulation of RNA metabolic process (GO:0051252)	1210	20	9.54	+	2.10	1.65E-03	3.33E-02
regulation of cellular process (GO:0050794)	3613	59	28.49	+	2.07	4.88E-10	9.69E-08
regulation of biological process (GO:0050789)	3942	63	31.09	+	2.03	1.61E-10	3.81E-08
biological regulation (GO:0065007)	4181	65	32.97	+	1.97	2.99E-10	6.11E-08
establishment of localization (GO:0051234)	1914	29	15.09	+	1.92	3.95E-04	1.06E-02
transport (GO:0006810)	1795	26	14.16	+	1.84	2.25E-03	3.98E-02
response to stimulus (GO:0050896)	2398	32	18.91	+	1.69	2.03E-03	3.73E-02
cellular process (GO:0009987)	7061	93	55.69	+	1.67	5.68E-14	1.82E-11
biological_process (GO:0008150)	11319	108	89.27	+	1.21	1.20E-08	1.96E-06
Unclassified (UNCLASSIFIED)	2502	1	19.73	-	.05	1.20E-08	1.92E-06
